FROM,TO,TOTAL
South Natomas,Elk Grove,49
South Natomas,Fair Oaks,40
South Natomas,Folsom,94
South Natomas,Franklin,5
South Natomas,Galt,7
South Natomas,Laguna,142
South Natomas,Land Park-Pocket-Meadowview,316
South Natomas,North Natomas,1264
South Natomas,North Sacramento,1128
South Natomas,NW Vision Area,52
South Natomas,Orangevale,23
South Natomas,Placer,448
South Natomas,Rancho Cordova East,31
South Natomas,Rancho Cordova West,188
South Natomas,Rancho Murieta,4
South Natomas,Rio Linda - Elverta,49
South Natomas,Rosemont,104
South Natomas,South Natomas,4024
South Natomas,South Sacramento,468
South Natomas,Sutter,69
South Natomas,Vineyard,48
South Natomas,Yolo,618
South Natomas,Yuba,35
South Sacramento,Antelope-North Highlands,906
South Sacramento,Arden Arcade,1222
South Sacramento,Carmichael,275
South Sacramento,Citrus Heights,490
South Sacramento,Cosumnes,79
South Sacramento,Delta,40
South Sacramento,Downtown,1617
South Sacramento,East Sacramento,2569
South Sacramento,El Dorado,316
South Sacramento,Elk Grove,2508
South Sacramento,Fair Oaks,127
South Sacramento,Folsom,335
South Sacramento,Franklin,34
South Sacramento,Galt,221
South Sacramento,Laguna,3172
South Sacramento,Land Park-Pocket-Meadowview,4016
South Sacramento,North Natomas,538
South Sacramento,North Sacramento,1110
South Sacramento,NW Vision Area,145
South Sacramento,Orangevale,77
South Sacramento,Placer,955
South Sacramento,Rancho Cordova East,129
South Sacramento,Rancho Cordova West,1092
South Sacramento,Rancho Murieta,23
South Sacramento,Rio Linda - Elverta,61
South Sacramento,Rosemont,533
South Sacramento,South Natomas,445
South Sacramento,South Sacramento,28222
South Sacramento,Southeast County,41
South Sacramento,Sutter,118
South Sacramento,Vineyard,1294
South Sacramento,Yolo,1261
South Sacramento,Yuba,102
Southeast County,Antelope-North Highlands,9
Southeast County,Arden Arcade,13
Southeast County,Carmichael,3
Southeast County,Citrus Heights,8
Southeast County,Cosumnes,36
Southeast County,Delta,3
Southeast County,Downtown,20
Southeast County,East Sacramento,28
Southeast County,El Dorado,17
Southeast County,Elk Grove,54
Southeast County,Fair Oaks,1
Southeast County,Folsom,15
Southeast County,Franklin,3
Southeast County,Galt,195
Southeast County,Laguna,47
Southeast County,Land Park-Pocket-Meadowview,11
Southeast County,North Natomas,6
Southeast County,North Sacramento,10
Southeast County,NW Vision Area,2
Southeast County,Orangevale,5
Southeast County,Placer,27
Southeast County,Rancho Cordova East,4
Southeast County,Rancho Cordova West,17
Southeast County,Rancho Murieta,2
Southeast County,Rio Linda - Elverta,1
Southeast County,Rosemont,9
Southeast County,South Natomas,3
Southeast County,South Sacramento,52
Southeast County,Southeast County,501
Southeast County,Sutter,5
Southeast County,Vineyard,23
Southeast County,Yolo,26
Southeast County,Yuba,4
Sutter,Antelope-North Highlands,144
Sutter,Arden Arcade,108
Sutter,Carmichael,16
Sutter,Citrus Heights,56
Sutter,Cosumnes,1
Sutter,Delta,2
Sutter,Downtown,92
Sutter,East Sacramento,107
Sutter,El Dorado,27
Sutter,Elk Grove,42
Sutter,Fair Oaks,9
Sutter,Folsom,43
Sutter,Franklin,4
Sutter,Galt,5
Sutter,Laguna,36
Sutter,Land Park-Pocket-Meadowview,39
Sutter,North Natomas,155
Sutter,North Sacramento,92
Sutter,NW Vision Area,60
Sutter,Orangevale,8
Sutter,Placer,515
Sutter,Rancho Cordova East,6
Sutter,Rancho Cordova West,55
Sutter,Rancho Murieta,1
Sutter,Rio Linda - Elverta,21
Sutter,Rosemont,20
Sutter,South Natomas,89
Sutter,South Sacramento,134
Sutter,Sutter,17673
Sutter,Vineyard,23
Sutter,Yolo,381
Sutter,Yuba,2972
Vineyard,Antelope-North Highlands,64
Vineyard,Arden Arcade,145
Vineyard,Carmichael,23
Vineyard,Citrus Heights,52
Vineyard,Cosumnes,35
Vineyard,Delta,9
Vineyard,Downtown,135
Vineyard,East Sacramento,245
Vineyard,El Dorado,65
Vineyard,Elk Grove,873
Vineyard,Fair Oaks,3
Vineyard,Folsom,41
Vineyard,Franklin,13
Vineyard,Galt,15
Vineyard,Laguna,391
Vineyard,Land Park-Pocket-Meadowview,154
Vineyard,North Natomas,40
Vineyard,North Sacramento,77
Vineyard,NW Vision Area,11
Vineyard,Orangevale,17
Vineyard,Placer,112
Vineyard,Rancho Cordova East,38
Vineyard,Rancho Cordova West,237
Vineyard,Rancho Murieta,20
Vineyard,Rio Linda - Elverta,6
Vineyard,Rosemont,177
Vineyard,South Natomas,52
Vineyard,South Sacramento,1299
Vineyard,Southeast County,19
Vineyard,Sutter,20
Vineyard,Vineyard,2127
Vineyard,Yolo,104
Vineyard,Yuba,8
Yolo,Antelope-North Highlands,674
Yolo,Arden Arcade,685
Yolo,Carmichael,203
Yolo,Citrus Heights,332
Yolo,Cosumnes,22
Yolo,Delta,78
Yolo,Downtown,1405
Yolo,East Sacramento,746
Yolo,El Dorado,207
Yolo,Elk Grove,232
Yolo,Fair Oaks,67
Yolo,Folsom,142
Yolo,Franklin,11
Yolo,Galt,55
Yolo,Laguna,376
Yolo,Land Park-Pocket-Meadowview,1013
Yolo,North Natomas,1059
Yolo,North Sacramento,752
Yolo,NW Vision Area,191
Yolo,Orangevale,84
Yolo,Placer,1009
Yolo,Rancho Cordova East,65
Yolo,Rancho Cordova West,423
Yolo,Rancho Murieta,12
Yolo,Rio Linda - Elverta,127
Yolo,Rosemont,191
Yolo,South Natomas,653
Yolo,South Sacramento,1289
Yolo,Southeast County,16
Yolo,Sutter,399
Yolo,Vineyard,112
Yolo,Yolo,46037
Yolo,Yuba,196
Yuba,Antelope-North Highlands,95
Yuba,Arden Arcade,77
Yuba,Carmichael,17
Yuba,Citrus Heights,96
Yuba,Cosumnes,3
Yuba,Delta,1
Yuba,Downtown,103
Yuba,East Sacramento,68
Yuba,El Dorado,49
Yuba,Elk Grove,11
Yuba,Fair Oaks,7
Yuba,Folsom,39
Yuba,Galt,3
Yuba,Laguna,19
Yuba,Land Park-Pocket-Meadowview,50
Yuba,North Natomas,109
Yuba,North Sacramento,76
Yuba,NW Vision Area,33
Yuba,Orangevale,20
Yuba,Placer,1005
Yuba,Rancho Cordova East,7
Yuba,Rancho Cordova West,56
Yuba,Rancho Murieta,1
Yuba,Rio Linda - Elverta,23
Yuba,Rosemont,27
Yuba,South Natomas,36
Yuba,South Sacramento,100
Yuba,Sutter,2991
Yuba,Vineyard,8
Yuba,Yolo,190
Yuba,Yuba,11527
